run_id,axis,ratio_or_density,seed,candidate_samples,selected_samples,actual_sample_ratio,original_tokens,retained_tokens,mean_retained_patch_tokens_per_sample,nominal_density,g_coordinates,h_coordinates,g_h_intersection,u_coordinates,dense_coordinates,actual_sparse_update_ratio,actual_total_update_ratio,optimizer_updates,amp_skipped_steps,g_selection_seconds,h_selection_seconds,final_diag_raw_top1,final_diag_ema_top1,final_diag_loss,final_diag_ema_loss,total_process_wallclock,train_compute_seconds,data_wait_seconds,train_system_seconds,forward_seconds,backward_seconds,optimizer_seconds,peak_memory_allocated,peak_memory_reserved,source_folder,normalized_compute_cost,normalized_system_cost,system_cost_saved,compute_cost_saved
FULL,full,1.0,42,161280,161280,1.0,31610880,31610880,196.0,,0,0,0,0,431983153704,,1.000595947556615,5034,6,0.0,0.0,86.5,86.5,0.8445026652018229,0.8432793235778808,663.1267993529327,340.419281399576,16.816279922029935,357.2355613216059,87.77172435569625,164.72782627105687,53.78024471658474,4933629952,5486149632,/home/pc/data/PEFT-method/STPFT/result/m1_1a_cub_seed42_20260909_161119/runs/FULL,1.0,1.0,0.0,0.0
S075,S,0.75,42,161280,120960,0.75,23708160,23708160,196.0,,0,0,0,0,431983153704,,1.000993640699523,5032,8,0.0,0.0,86.66666666666667,87.0,0.8583603477478028,0.858522679011027,776.4229348349618,443.5597691538278,16.296364319394343,459.85613347322214,78.96932334899897,180.1566229953766,44.44000734639162,4132813312,4466933760,/home/pc/data/PEFT-method/STPFT/result/m1_1a_cub_seed42_20260909_161119/runs/S075,1.3029807457738798,1.2872630366696072,-0.2872630366696072,-0.3029807457738798
S050,S,0.5,42,161280,80640,0.5,15805440,15805440,196.0,,0,0,0,0,431897391712,,1.0003972983710767,5034,6,0.0,0.0,85.5,85.5,0.8535325066248576,0.8547284062703451,779.6110346500063,455.30545525602065,17.880141022382304,473.18559627840295,80.48531955814364,182.17975614547737,46.28215436935434,3306444288,3632267264,/home/pc/data/PEFT-method/STPFT/result/m1_1a_cub_seed42_20260909_161119/runs/S050,1.3374843322155834,1.3245758471744404,-0.32457584717444043,-0.3374843322155834
S025,S,0.25,42,161280,40320,0.25,7902720,7902720,196.0,,0,0,0,0,431983153704,,1.000595947556615,5034,6,0.0,0.0,87.16666666666667,87.0,0.8543739875157674,0.8544649998346965,819.7393132280558,446.28817585879005,16.570646097883582,462.85882195667364,83.48580947113055,181.25227882385158,47.988946379661485,2471650816,2743074816,/home/pc/data/PEFT-method/STPFT/result/m1_1a_cub_seed42_20260909_161119/runs/S025,1.3109955876293262,1.2956683826333264,-0.2956683826333264,-0.3109955876293262
T085,T,0.85,42,161280,161280,1.0,31610880,26772480,166.0,,0,0,0,0,431983153704,,1.0007947546195113,5033,7,0.0,0.0,86.16666666666667,86.66666666666667,0.8586659971872965,0.8581779289245606,711.2779920730973,355.83023116225377,17.894516161410138,373.7247473236639,94.59689211654647,176.69982438278203,50.39717220848799,4536884736,5024776192,/home/pc/data/PEFT-method/STPFT/result/m1_1a_cub_seed42_20260909_161119/runs/T085,1.045270496134409,1.046157739562813,-0.046157739562812994,-0.04527049613440903
T070,T,0.7,42,161280,161280,1.0,31610880,22095360,137.0,,0,0,0,0,431983153704,,1.0007947546195113,5033,7,0.0,0.0,87.5,87.5,0.8938162676493326,0.8940861860911051,651.4567644149065,348.557705877698,19.099653071607463,367.6573589493055,91.74636656188984,170.9132911930078,52.60377175760291,4169810944,4483710976,/home/pc/data/PEFT-method/STPFT/result/m1_1a_cub_seed42_20260909_161119/runs_retry2/T070,1.0239070608593681,1.0291734607527419,-0.029173460752741853,-0.023907060859368112
T055,T,0.55,42,161280,161280,1.0,31610880,17256960,107.0,,0,0,0,0,431983153704,,1.000595947556615,5034,6,0.0,0.0,86.16666666666667,86.16666666666667,0.8663115978240967,0.8651772340138754,724.9322333360324,352.04044186579995,17.510716161108576,369.5511580269085,102.06419261932358,172.28574941253692,53.90537124973537,3802768896,4141875200,/home/pc/data/PEFT-method/STPFT/result/m1_1a_cub_seed42_20260909_161119/runs/T055,1.0341377856696177,1.0344747221126043,-0.03447472211260427,-0.03413778566961767
T040,T,0.4,42,161280,161280,1.0,31610880,12579840,78.0,,0,0,0,0,431983153704,,1.0003972194637538,5035,5,0.0,0.0,85.33333333333333,85.5,0.9003854942321777,0.9003272120157878,708.9058506269939,344.879249673686,17.216143871308304,362.0953935449943,97.48732650470761,169.14239706230197,51.93603100949538,3480648704,3886022656,/home/pc/data/PEFT-method/STPFT/result/m1_1a_cub_seed42_20260909_161119/runs/T040,1.0131013973584975,1.0136039990123302,-0.013603999012330226,-0.013101397358497469
P050,P,0.05,42,161280,161280,1.0,31610880,31610880,196.0,0.05,21539194215,21539194215,17738469162,25339919268,1196347944,0.05885746775888577,0.06146554838525133,5034,6,11.753073101475833,23.860543363608343,86.83333333333333,86.83333333333333,0.7932612180709839,0.7933991765975952,924.8155995820416,693.4134762368631,16.1836726925103,709.5971489293734,86.49415474891603,189.98226417160026,395.1821308740382,5678537728,6291456000,/home/pc/data/PEFT-method/STPFT/result/m1_1a_cub_seed42_20260909_161119/runs/P050,2.0369394864650774,1.9863564150897883,-0.9863564150897883,-1.0369394864650774
P020,P,0.02,42,161280,161280,1.0,31610880,31610880,196.0,0.02,8615566872,8615566872,7071733304,10159400440,1196347944,0.02359741471639285,0.02630314565990856,5034,6,11.673071701735276,21.30660898331925,88.0,88.0,0.7701718457539877,0.770206610361735,845.6700712249149,657.1465427683434,15.686047677998431,672.8325904463418,84.94517868804937,182.53013098144527,370.28966183793597,4816399360,5347737600,/home/pc/data/PEFT-method/STPFT/result/m1_1a_cub_seed42_20260909_161119/runs_retry2/P020,1.9304034133043142,1.8834423649123093,-0.8834423649123093,-0.9304034133043142
